operation,operationLabel,backend,pushes,cacheState,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial
cloneStyleTraversal,Clone-style traversal,hsqldb,1,cold,none,0.009080983577924176,0.0013400265963819328,0.007376,0.010992,0.016304,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
cloneStyleTraversal,Clone-style traversal,hsqldb,1,cold,compact-only,0.007930099154100772,0.0005141684266928613,0.007344,0.009616,0.015743999999999998,2,17172,2256,2,10000,19567,8449,36.0,1076,-1,True,21.0.12.1,sample,0.0011508844238234048,12.673565742605227,31281,False
cloneStyleTraversal,Clone-style traversal,hsqldb,1,cold,read-optimized,0.00832804834587015,0.0009657963195846854,0.007264,0.008512,0.015583999999999999,2,17172,2256,2,10000,20955,8449,50.0,2464,-1,True,21.0.12.1,sample,0.0007529352320540268,8.29134009100521,66407,False
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,1,cold,none,0.00876042202712267,0.0007530118526192294,0.0073679999999999995,0.010591999999999999,0.017311999999999998,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,1,cold,compact-only,0.008086157809983901,0.0006153879459936428,0.007359999999999999,0.00896,0.015439999999999999,2,17172,2256,2,10000,19567,8449,32.0,1076,-1,True,21.0.12.1,sample,0.0006742642171387696,7.696709302944726,47460,False
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,1,cold,read-optimized,0.008273647010934936,0.0007616834940019537,0.0072959999999999995,0.010128,0.01592,2,17172,2256,2,10000,20955,8449,62.0,2464,-1,True,21.0.12.1,sample,0.00048677501618773523,5.556524727697562,127369,False
lookupMissingObject,Missing-object lookup,hsqldb,1,cold,none,0.0001549344786750799,3.996954270235743e-06,0.00014,0.00017099999999999998,0.00022999999999999998,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupMissingObject,Missing-object lookup,hsqldb,1,cold,compact-only,0.00016715423836838753,4.315389947721754e-06,0.00015099999999999998,0.00018999999999999998,0.000261,2,17172,2256,2,10000,19567,8449,37.0,1076,-1,True,21.0.12.1,sample,-1.2219759693307637e-05,-7.887049930915796,,False
lookupMissingObject,Missing-object lookup,hsqldb,1,cold,read-optimized,0.00015167042698998416,3.7348730353533836e-06,0.00014,0.00016999999999999999,0.00024099999999999998,2,17172,2256,2,10000,20955,8449,55.0,2464,-1,True,21.0.12.1,sample,3.264051685095739e-06,2.106730350150743,16850224,False
lookupNewestObject,Newest-object lookup,hsqldb,1,cold,none,0.0037115390288603753,0.000273472920104532,0.0034839999999999997,0.0037159999999999997,0.006633920000000041,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupNewestObject,Newest-object lookup,hsqldb,1,cold,compact-only,0.003614326075761631,1.9922260441057717e-05,0.0034839999999999997,0.0037159999999999997,0.005872,2,17172,2256,2,10000,19567,8449,34.0,1076,-1,True,21.0.12.1,sample,9.721295309874419e-05,2.6192086986781153,349748,False
lookupNewestObject,Newest-object lookup,hsqldb,1,cold,read-optimized,0.0036272644393104685,1.9072657400884797e-05,0.0034839999999999997,0.003712,0.006653280000000028,2,17172,2256,2,10000,20955,8449,63.0,2464,-1,True,21.0.12.1,sample,8.427458954990679e-05,2.270610355828138,747557,False
lookupOldestObject,Oldest-object lookup,hsqldb,1,cold,none,0.003625683535911603,1.6532767257904885e-05,0.003492,0.003712,0.006059919999999983,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupOldestObject,Oldest-object lookup,hsqldb,1,cold,compact-only,0.0036896673756979526,0.00015521986801956,0.003492,0.003764,0.006002719999999972,2,17172,2256,2,10000,19567,8449,35.0,1076,-1,True,21.0.12.1,sample,-6.39838397863495e-05,-1.7647386803785698,,False
lookupOldestObject,Oldest-object lookup,hsqldb,1,cold,read-optimized,0.0036188570416454463,1.5315682966479552e-05,0.003496,0.003712,0.005858559999999998,2,17172,2256,2,10000,20955,8449,51.0,2464,-1,True,21.0.12.1,sample,6.82649426615679e-06,0.18828158052245475,7470892,False
readAllRefs,Read all refs,hsqldb,1,cold,none,0.00039551448974343734,9.122089353162114e-06,0.00037099999999999996,0.00041099999999999996,0.000561,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
readAllRefs,Read all refs,hsqldb,1,cold,compact-only,0.00033949897857934964,7.952598051713081e-06,0.00031099999999999997,0.000361,0.00058,2,17172,2256,2,10000,19567,8449,34.0,1076,-1,True,21.0.12.1,sample,5.60155111640877e-05,14.162695076082771,606975,False
readAllRefs,Read all refs,hsqldb,1,cold,read-optimized,0.0003677758005045602,9.975495981443565e-06,0.00033999999999999997,0.00039099999999999996,0.000571,2,17172,2256,2,10000,20955,8449,52.0,2464,-1,True,21.0.12.1,sample,2.773868923887715e-05,7.013318085228864,1874638,False
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,1,cold,none,0.7765476300174531,0.04268762182899497,0.5591039999999999,1.5128575999999996,2.014003200000003,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,1,cold,compact-only,0.6458963640606767,0.03413889886252323,0.5114879999999999,1.3552640000000018,2.00994816,2,17172,2256,2,10000,19567,8449,29.0,1076,-1,True,21.0.12.1,sample,0.13065126595677634,16.824630055704365,222,False
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,1,cold,read-optimized,0.7117714051282054,0.040124637367767474,0.535552,1.5071231999999992,2.00660992,2,17172,2256,2,10000,20955,8449,54.0,2464,-1,True,21.0.12.1,sample,0.06477622488924772,8.34156494531982,834,False
revisionWalk,Revision walk,hsqldb,1,cold,none,0.0027487907995618877,1.6785327960266538e-05,0.0026119999999999997,0.002872,0.004515599999999976,1,17140,1184,1,10000,18491,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
revisionWalk,Revision walk,hsqldb,1,cold,compact-only,0.002728247625236518,1.6891500208375783e-05,0.002604,0.0028439999999999997,0.00447823999999999,2,17172,2256,2,10000,19567,8449,31.0,1076,-1,True,21.0.12.1,sample,2.0543174325369715e-05,0.7473531390109411,1509018,False
revisionWalk,Revision walk,hsqldb,1,cold,read-optimized,0.002674805142537739,1.4982329830787103e-05,0.002552,0.002852,0.00424,2,17172,2256,2,10000,20955,8449,50.0,2464,-1,True,21.0.12.1,sample,7.398565702414856e-05,2.691571036833384,675807,False
