backend,cacheState,pushes,status,maintenanceMode,operation,breakEvenReads,maintenanceElapsedMillis,latencySavingMillis,latencySavingPercent,activePacksBefore,activePacksAfter,reason
hsqldb,cold,1,do-not-maintain,,,,,,,,,No measured important operation repaid maintenance while reducing packs.
hsqldb,warm,1,do-not-maintain,,,,,,,,,No measured important operation repaid maintenance while reducing packs.
hsqldb,cold,10,candidate,compact-only,reopenAndLookupOldest,34,55,1.64368574552,66.3800388755,10,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,warm,10,candidate,read-optimized,cloneStyleTraversal,13595,90,0.00662009376869,8.40190085516,10,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,cold,32,candidate,compact-only,reopenAndLookupOldest,16,92,5.98824912401,86.9601051744,32,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,warm,32,candidate,read-optimized,cloneStyleTraversal,4076,124,0.0304293437599,11.6539096173,32,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,cold,100,candidate,compact-only,reopenAndLookupOldest,14,198,14.3005602162,94.1036835066,100,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,warm,100,candidate,compact-only,cloneStyleTraversal,1286,205,0.159508878244,17.3875038592,100,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,cold,300,candidate,compact-only,reopenAndLookupOldest,11,481,47.6113202128,98.603986108,300,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,warm,300,candidate,compact-only,cloneStyleTraversal,415,506,1.21966274258,34.1522607016,300,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,cold,1000,candidate,compact-only,reopenAndLookupOldest,10,1341,136.95072223,99.4044378552,1000,2,Lowest measured break-even among important operations with pack reduction.
hsqldb,warm,1000,candidate,compact-only,cloneStyleTraversal,101,1330,13.1817383145,61.5855834508,1000,2,Lowest measured break-even among important operations with pack reduction.
postgresql,cold,1,do-not-maintain,,,,,,,,,No measured important operation repaid maintenance while reducing packs.
postgresql,warm,1,do-not-maintain,,,,,,,,,No measured important operation repaid maintenance while reducing packs.
postgresql,cold,10,candidate,compact-only,reopenAndLookupOldest,12,80,6.84970240227,65.690701676,10,2,Lowest measured break-even among important operations with pack reduction.
postgresql,warm,10,candidate,compact-only,cloneStyleTraversal,48764,69,0.00141500021627,1.51277997755,10,2,Lowest measured break-even among important operations with pack reduction.
postgresql,cold,32,candidate,compact-only,reopenAndLookupOldest,6,124,22.5910392546,85.9224305125,32,2,Lowest measured break-even among important operations with pack reduction.
postgresql,warm,32,candidate,read-optimized,cloneStyleTraversal,6210,154,0.0248009465328,7.95624969193,32,2,Lowest measured break-even among important operations with pack reduction.
postgresql,cold,100,candidate,compact-only,reopenAndLookupOldest,4,283,71.555560396,94.0361928996,100,2,Lowest measured break-even among important operations with pack reduction.
postgresql,warm,100,candidate,read-optimized,cloneStyleTraversal,1737,322,0.185447973942,16.9395948114,100,2,Lowest measured break-even among important operations with pack reduction.
postgresql,cold,300,candidate,compact-only,reopenAndLookupOldest,3,591,244.889413818,98.3628673303,300,2,Lowest measured break-even among important operations with pack reduction.
postgresql,warm,300,candidate,compact-only,cloneStyleTraversal,430,632,1.47056641161,33.8645475048,300,2,Lowest measured break-even among important operations with pack reduction.
postgresql,cold,1000,candidate,compact-only,reopenAndLookupOldest,3,1623,601.926029546,99.3724284053,1000,2,Lowest measured break-even among important operations with pack reduction.
postgresql,warm,1000,candidate,compact-only,cloneStyleTraversal,117,1815,15.6195831782,60.8261328863,1000,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,cold,1,do-not-maintain,,,,,,,,,No measured important operation repaid maintenance while reducing packs.
postgresql-hikari,warm,1,do-not-maintain,,,,,,,,,No measured important operation repaid maintenance while reducing packs.
postgresql-hikari,cold,10,candidate,compact-only,reopenAndLookupOldest,14,58,4.39586096377,64.2780054946,10,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,warm,10,candidate,compact-only,cloneStyleTraversal,33777,69,0.00204282197894,2.2236588545,10,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,cold,32,candidate,compact-only,reopenAndLookupOldest,6,89,15.8116537435,85.6345418687,32,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,warm,32,candidate,compact-only,cloneStyleTraversal,6389,126,0.0197220090085,6.38133847095,32,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,cold,100,candidate,compact-only,reopenAndLookupOldest,5,240,49.986755963,93.6729406272,100,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,warm,100,candidate,compact-only,cloneStyleTraversal,1641,267,0.162711376581,14.9564469562,100,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,cold,300,candidate,compact-only,reopenAndLookupOldest,3,510,171.110693675,98.3776179778,300,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,warm,300,candidate,compact-only,reopenAndLookupOldest,394,592,1.50397255815,33.8451239757,300,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,cold,1000,candidate,compact-only,reopenAndLookupOldest,4,1546,405.389658839,99.3672825555,1000,2,Lowest measured break-even among important operations with pack reduction.
postgresql-hikari,warm,1000,candidate,compact-only,cloneStyleTraversal,93,1620,17.4825081905,64.6676863583,1000,2,Lowest measured break-even among important operations with pack reduction.
