backend,cacheState,pushes,operation,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode
hsqldb,cold,1,reopenAndLookupOldest,none,0.776547630017,0.042687621829,0.559104,1.5128576,2.0140032,1,17140,1184,1,10000,18491,8449,0,0,0,0,0,,false,true,21.0.12.1,sample
hsqldb,cold,1,reopenAndLookupOldest,compact-only,0.645896364061,0.0341388988625,0.511488,1.355264,2.00994816,2,17172,2256,2,10000,19567,8449,29,1076,-1,0.130651265957,16.8246300557,222,false,true,21.0.12.1,sample
hsqldb,cold,1,reopenAndLookupOldest,read-optimized,0.711771405128,0.0401246373678,0.535552,1.5071232,2.00660992,2,17172,2256,2,10000,20955,8449,54,2464,-1,0.0647762248892,8.34156494532,834,false,true,21.0.12.1,sample
hsqldb,cold,10,reopenAndLookupOldest,none,2.47617472566,0.171884026211,2.199552,4.675584,10.9092864,10,95514,11588,10,10000,107269,8449,0,0,0,0,0,,false,true,21.0.12.1,sample
hsqldb,cold,10,reopenAndLookupOldest,compact-only,0.832488980142,0.0439367728526,0.730112,1.417216,1.947648,2,95258,3012,2,10000,98409,8449,55,-8860,8,1.64368574552,66.3800388755,34,true,true,21.0.12.1,sample
hsqldb,cold,10,reopenAndLookupOldest,read-optimized,0.777001861635,0.0428923930451,0.683008,1.380352,1.93202176,2,95258,3012,2,10000,100661,8449,79,-6608,8,1.69917286403,68.6208790687,47,true,true,21.0.12.1,sample
hsqldb,cold,32,reopenAndLookupOldest,none,6.8862027156,0.48125127656,6.242304,11.5605504,18.79048192,32,312505,37104,32,10000,349776,33796,0,0,0,0,0,,false,true,21.0.12.1,sample
hsqldb,cold,32,reopenAndLookupOldest,compact-only,0.897953591589,0.0468902157264,0.784384,1.4178304,2.1843968,2,311545,4944,2,10000,316628,33796,92,-33148,30,5.98824912401,86.9601051744,16,true,true,21.0.12.1,sample
hsqldb,cold,32,reopenAndLookupOldest,read-optimized,0.852616598848,0.0408008683639,0.761856,1.3135872,2.06925824,2,311545,4944,2,10000,321240,33796,114,-28536,30,6.03358611675,87.6184795298,19,true,true,21.0.12.1,sample
hsqldb,cold,100,reopenAndLookupOldest,none,15.1965998389,1.68726868852,13.303808,29.999104,35.848192,100,955494,115880,100,10000,1071541,84490,0,0,0,0,0,,false,true,21.0.12.1,sample
