backend,cacheState,pushes,operation,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode
postgresql,cold,1,reopenAndLookupOldest,none,3.49613089548,0.12848492903,3.248128,5.193728,6.4045056,1,17140,1184,1,10000,18491,8449,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql,cold,1,reopenAndLookupOldest,compact-only,3.33722209524,0.106976849019,3.149824,4.6559232,5.75823872,2,17172,2256,2,10000,19567,8449,42,1076,-1,0.158908800238,4.54527604911,265,false,true,21.0.12.1,sample
postgresql,cold,1,reopenAndLookupOldest,read-optimized,3.41361890687,0.130841044493,3.19488,4.8480256,6.31144448,2,17172,2256,2,10000,20955,8449,78,2464,-1,0.0825119886056,2.36009437497,946,false,true,21.0.12.1,sample
postgresql,cold,10,reopenAndLookupOldest,none,10.4272023704,0.542920236346,9.814016,14.4293888,22.21768704,10,95514,11588,10,10000,107269,8449,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql,cold,10,reopenAndLookupOldest,compact-only,3.5774999681,0.104930185289,3.432448,4.9610752,6.51526144,2,95258,3012,2,10000,98409,8449,80,-8860,8,6.84970240227,65.690701676,12,true,true,21.0.12.1,sample
postgresql,cold,10,reopenAndLookupOldest,read-optimized,3.6026843136,0.13479608949,3.44064,5.0085888,6.71367168,2,95258,3012,2,10000,100661,8449,107,-6608,8,6.82451805677,65.4491762447,16,true,true,21.0.12.1,sample
postgresql,cold,32,reopenAndLookupOldest,none,26.2923652414,1.39420357932,24.969216,35.0093312,38.404096,32,312505,37104,32,10000,349776,33796,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql,cold,32,reopenAndLookupOldest,compact-only,3.70132598675,0.132783178071,3.495936,4.866048,6.2672896,2,311545,4944,2,10000,316628,33796,124,-33148,30,22.5910392546,85.9224305125,6,true,true,21.0.12.1,sample
postgresql,cold,32,reopenAndLookupOldest,read-optimized,3.60662019293,0.125688206604,3.35872,4.9467392,6.43514368,2,311545,4944,2,10000,321240,33796,164,-28536,30,22.6857450485,86.282633153,8,true,true,21.0.12.1,sample
postgresql,cold,100,reopenAndLookupOldest,none,76.0936381935,4.18253551317,76.283904,89.5746048,93.585408,100,955494,115880,100,10000,1071541,84490,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql,cold,100,reopenAndLookupOldest,compact-only,4.53807779757,0.117869805833,4.395008,5.5296,6.4221184,2,952358,10824,2,10000,963321,84490,283,-108220,98,71.555560396,94.0361928996,4,true,true,21.0.12.1,sample
postgresql,cold,100,reopenAndLookupOldest,read-optimized,4.65938695436,0.137971167351,4.468736,6.0911616,7.02767104,2,952358,10824,2,10000,977117,84490,333,-94424,98,71.4342512392,93.8767720075,5,true,true,21.0.12.1,sample
postgresql,cold,300,reopenAndLookupOldest,none,248.965306182,26.4906716671,244.318208,287.309824,287.309824,300,2866639,347640,300,10000,3214447,253470,0,0,0,0,0,,false,true,21.0.12.1,sample
