backend,cacheState,pushes,operation,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode
postgresql-hikari,cold,1,reopenAndLookupOldest,none,2.28001898471,0.0748927421405,2.091008,3.1780864,4.44366848,1,17140,1184,1,10000,18491,8449,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,cold,1,reopenAndLookupOldest,compact-only,2.25117849497,0.0815407290195,2.08896,3.166208,4.2110976,2,17172,2256,2,10000,19567,8449,39,1076,-1,0.0288404897397,1.26492322797,1353,false,true,21.0.12.1,sample
postgresql-hikari,cold,1,reopenAndLookupOldest,read-optimized,2.21450462389,0.0742652736018,2.029568,3.0703616,4.2213376,2,17172,2256,2,10000,20955,8449,55,2464,-1,0.06551436082,2.87341295223,840,false,true,21.0.12.1,sample
postgresql-hikari,cold,10,reopenAndLookupOldest,none,6.83882601824,0.351703631596,6.414336,9.617408,15.5516928,10,95514,11588,10,10000,107269,8449,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,cold,10,reopenAndLookupOldest,compact-only,2.44296505447,0.0746325958146,2.29376,3.3507328,4.54238208,2,95258,3012,2,10000,98409,8449,58,-8860,8,4.39586096377,64.2780054946,14,true,true,21.0.12.1,sample
postgresql-hikari,cold,10,reopenAndLookupOldest,read-optimized,2.42506029437,0.0785362892507,2.244608,3.401728,4.450304,2,95258,3012,2,10000,100661,8449,80,-6608,8,4.41376572386,64.5398159289,19,true,true,21.0.12.1,sample
postgresql-hikari,cold,32,reopenAndLookupOldest,none,18.4641073548,0.879117741011,17.85856,25.501696,28.483584,32,312505,37104,32,10000,349776,33796,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,cold,32,reopenAndLookupOldest,compact-only,2.65245361137,0.0962310171626,2.496512,3.469312,4.9242112,2,311545,4944,2,10000,316628,33796,89,-33148,30,15.8116537435,85.6345418687,6,true,true,21.0.12.1,sample
postgresql-hikari,cold,32,reopenAndLookupOldest,read-optimized,2.53734443488,0.0916951947852,2.359296,3.485696,5.18651904,2,311545,4944,2,10000,321240,33796,115,-28536,30,15.92676292,86.25796316,8,true,true,21.0.12.1,sample
postgresql-hikari,cold,100,reopenAndLookupOldest,none,53.3630690233,2.97131017166,52.363264,64.8675328,71.565312,100,955494,115880,100,10000,1071541,84490,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,cold,100,reopenAndLookupOldest,compact-only,3.37631306024,0.094934150349,3.260416,4.127744,5.3932032,2,952358,10824,2,10000,963321,84490,240,-108220,98,49.986755963,93.6729406272,5,true,true,21.0.12.1,sample
postgresql-hikari,cold,100,reopenAndLookupOldest,read-optimized,3.32682710979,0.106253253081,3.186688,4.170752,5.62176,2,952358,10824,2,10000,977117,84490,264,-94424,98,50.0362419135,93.7656750808,6,true,true,21.0.12.1,sample
postgresql-hikari,cold,300,reopenAndLookupOldest,none,173.932544,14.3328721713,169.73824,197.132288,197.132288,300,2866639,347640,300,10000,3214447,253470,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,cold,300,reopenAndLookupOldest,compact-only,2.82185032453,0.0795021853011,2.727936,3.6593664,4.9332224,2,2857103,28184,1,5000,2885426,253470,510,-329021,298,171.110693675,98.3776179778,3,true,true,21.0.12.1,sample
postgresql-hikari,cold,300,reopenAndLookupOldest,read-optimized,2.86096718367,0.0882042270752,2.789376,3.648512,5.3858304,2,2857103,28184,1,5000,2913584,253470,655,-300863,298,171.071576816,98.3551283056,4,true,true,21.0.12.1,sample
postgresql-hikari,cold,1000,reopenAndLookupOldest,none,407.970962286,133.395963028,408.94464,491.782144,491.782144,1000,9555630,1158800,1000,10000,10714598,844900,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,cold,1000,reopenAndLookupOldest,compact-only,2.581303447,0.0825556256959,2.5088,3.305472,4.52706304,2,9523694,88944,1,5000,9612777,844900,1546,-1101821,998,405.389658839,99.3672825555,4,true,true,21.0.12.1,sample
postgresql-hikari,cold,1000,reopenAndLookupOldest,read-optimized,2.61356068998,0.103858625792,2.543616,3.0724096,4.93387776,2,9523694,88944,1,5000,9684701,844900,1524,-1029897,998,405.357401596,99.3593758057,4,true,true,21.0.12.1,sample
postgresql-hikari,warm,1,reopenAndLookupOldest,none,1.71103135927,0.0326019731654,1.640448,2.387968,2.81755648,1,17140,1184,1,10000,18491,8449,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,warm,1,reopenAndLookupOldest,compact-only,1.67546589395,0.0402316932161,1.585152,2.3552,2.8786688,2,17172,2256,2,10000,19567,8449,44,1076,-1,0.035565465317,2.07859809958,1238,false,true,21.0.12.1,sample
postgresql-hikari,warm,1,reopenAndLookupOldest,read-optimized,1.67841111377,0.0419497311734,1.548288,2.3762944,3.14712064,2,17172,2256,2,10000,20955,8449,71,2464,-1,0.0326202454953,1.90646684052,2177,false,true,21.0.12.1,sample
postgresql-hikari,warm,10,reopenAndLookupOldest,none,1.71532819542,0.0285193084464,1.62816,2.3529472,2.81944064,10,95514,11588,10,10000,107269,8449,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,warm,10,reopenAndLookupOldest,compact-only,2.75311509202,0.0549741297892,2.64192,3.6257792,4.521984,2,95258,3012,2,10000,98409,8449,73,-8860,8,-1.0377868966,-60.500777599,,false,true,21.0.12.1,sample
postgresql-hikari,warm,10,reopenAndLookupOldest,read-optimized,2.64105984,0.0767387613342,2.512896,3.5831808,4.54557696,2,95258,3012,2,10000,100661,8449,94,-6608,8,-0.92573164458,-53.9681937866,,false,true,21.0.12.1,sample
postgresql-hikari,warm,32,reopenAndLookupOldest,none,1.95604515679,0.0515891095016,1.893376,2.5481216,3.98454784,32,312505,37104,32,10000,349776,33796,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,warm,32,reopenAndLookupOldest,compact-only,2.74828564994,0.0811213421434,2.605056,3.5504128,5.726208,2,311545,4944,2,10000,316628,33796,116,-33148,30,-0.792240493144,-40.5021576518,,false,true,21.0.12.1,sample
postgresql-hikari,warm,32,reopenAndLookupOldest,read-optimized,2.66779728266,0.0765898588541,2.506752,3.7072896,4.9152,2,311545,4944,2,10000,321240,33796,156,-28536,30,-0.711752125866,-36.3873054461,,false,true,21.0.12.1,sample
postgresql-hikari,warm,100,reopenAndLookupOldest,none,2.57968434023,0.0742366469344,2.486272,3.3501184,4.5502464,100,955494,115880,100,10000,1071541,84490,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,warm,100,reopenAndLookupOldest,compact-only,3.54204663937,0.0751198763802,3.391488,4.4662784,5.57056,2,952358,10824,2,10000,963321,84490,284,-108220,98,-0.96236229914,-37.3054285802,,false,true,21.0.12.1,sample
postgresql-hikari,warm,100,reopenAndLookupOldest,read-optimized,3.47688991654,0.0922897883038,3.342336,4.17792,6.7043328,2,952358,10824,2,10000,977117,84490,312,-94424,98,-0.897205576308,-34.7796651829,,false,true,21.0.12.1,sample
postgresql-hikari,warm,300,reopenAndLookupOldest,none,4.44369049802,0.101559243675,4.390912,5.4665216,7.16816384,300,2866639,347640,300,10000,3214447,253470,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,warm,300,reopenAndLookupOldest,compact-only,2.93971793987,0.0784123854744,2.863104,3.506176,5.128192,2,2857103,28184,1,5000,2885426,253470,592,-329021,298,1.50397255815,33.8451239757,394,true,true,21.0.12.1,sample
postgresql-hikari,warm,300,reopenAndLookupOldest,read-optimized,2.91934829572,0.0765140017688,2.84672,3.5897344,4.83196928,2,2857103,28184,1,5000,2913584,253470,673,-300863,298,1.5243422023,34.3035187302,442,true,true,21.0.12.1,sample
postgresql-hikari,warm,1000,reopenAndLookupOldest,none,11.0070908878,0.360463901538,10.289152,13.7084928,15.44716288,1000,9555630,1158800,1000,10000,10714598,844900,0,0,0,0,0,,false,true,21.0.12.1,sample
postgresql-hikari,warm,1000,reopenAndLookupOldest,compact-only,2.54011472994,0.0403684864294,2.49856,2.971648,4.1590784,2,9523694,88944,1,5000,9612777,844900,1586,-1101821,998,8.46697615786,76.9229239966,188,true,true,21.0.12.1,sample
postgresql-hikari,warm,1000,reopenAndLookupOldest,read-optimized,2.46242278204,0.0576145982842,2.387968,3.0265344,4.43940864,2,9523694,88944,1,5000,9684701,844900,1777,-1029897,998,8.54466810577,77.6287594321,208,true,true,21.0.12.1,sample
