backend,cacheState,maintenanceMode,repeat,noMaintenanceMillis,maintenanceModeMillis,maintenanceElapsedMillis,savingMillis,savingPercent,breakEvenReads
postgresql,cold,compact-only,1,17.702912,5.84451011765,74,11.8584018824,66.9856003484,6.24030124246
postgresql,cold,read-optimized,1,17.702912,6.50788335484,91,11.1950286452,63.2383454494,8.12860805312
postgresql,cold,compact-only,2,18.9965032727,6.43732645161,73,12.5591768211,66.1130979781,5.81248285933
postgresql,cold,read-optimized,2,18.9965032727,6.299904,92,12.6965992727,66.8365071742,7.24603478647
postgresql,cold,compact-only,3,18.4528523636,5.844992,67,12.6078603636,68.3247235451,5.31414514974
postgresql,cold,read-optimized,3,18.4528523636,6.07374739394,100,12.3791049697,67.0850485646,8.07812844667
postgresql,warm,compact-only,1,3.49381614035,4.63876762791,62,-1.14495148756,-32.7707996518,
postgresql,warm,read-optimized,1,3.49381614035,4.94367219512,89,-1.44985605477,-41.4977776886,
postgresql,warm,compact-only,2,3.64255762963,4.68496669767,65,-1.04240906804,-28.6175037991,
postgresql,warm,read-optimized,2,3.64255762963,4.52244945455,100,-0.879891824916,-24.1558793129,
postgresql,warm,compact-only,3,4.32119095652,5.0920448,76,-0.770853843478,-17.8389210575,
postgresql,warm,read-optimized,3,4.32119095652,4.52375272727,102,-0.202561770751,-4.68763757004,
sqlserver,cold,compact-only,1,34.7450026667,11.4342115556,83,23.3107911111,67.0910615111,3.56058271915
sqlserver,cold,read-optimized,1,34.7450026667,10.8893237895,116,23.8556788772,68.6593093863,4.86257383817
sqlserver,cold,compact-only,2,37.5958186667,11.4451342222,93,26.1506844444,69.557427852,3.55631227158
sqlserver,cold,read-optimized,2,37.5958186667,11.7540743529,119,25.8417443137,68.735687186,4.60495230335
sqlserver,cold,compact-only,3,37.060608,13.5091541333,87,23.5514538667,63.5484821692,3.69403946323
sqlserver,cold,read-optimized,3,37.060608,12.2301741176,125,24.8304338824,66.9995319083,5.03414481568
sqlserver,warm,compact-only,1,7.14927542857,7.64471138462,76,-0.495435956044,-6.92987647481,
sqlserver,warm,read-optimized,1,7.14927542857,8.0265216,110,-0.877246171429,-12.2704206908,
sqlserver,warm,compact-only,2,7.01517682759,8.02390016,81,-1.00872333241,-14.3791576065,
sqlserver,warm,read-optimized,2,7.01517682759,8.82527721739,119,-1.81010038981,-25.8026338365,
sqlserver,warm,compact-only,3,7.01856662069,8.57463466667,94,-1.55606804598,-22.1707384153,
sqlserver,warm,read-optimized,3,7.01856662069,8.88084034783,128,-1.86227372714,-26.533533523,
